term,reading,english,description,category
模型店,もけいてん,,模型を販売する店。,店舗
欠勤,けっきん,,本来勤務すべき日または時間を休むこと。,労働
正規雇用,せいきこよう,,雇用の期間を定めず、フルタイムで雇用する形態の契約。,労働
正貨,せいか,,本位貨幣のこと。金本位制における金貨、銀本位制における銀貨など。,通貨
武器屋,ぶきや,,武器を作って売る店。,店舗
残業,ざんぎょう; ざんぎょー,overtime,規定の時間を超えて働くこと。,労働
毛銭,もうせん,,中国宋の時代の銭。,通貨
水菓子屋,みずがしや,,水菓子を売る店、その人。,店舗
永,とわ; ヨウ; エイ,,(エイ) 室町時代、中国の明より輸入され、江戸初期まで盛んに流通したが、1608年禁止された永楽通宝（永楽銭）の略称。,通貨
求人,きゅうじん,,労働者を雇用するため、そのような人を求めること。,労働
決算,けっさん,settlement; of; accounts,会計期間の終わりに帳簿を締め切って、その期間の経営成績と期末における財政状態を明らかにするための一連の手続き。,会計
法定貨幣,,,国の法令により強制的な通用力をもつ貨幣。法貨。法幣。,通貨
法幣,ほうへい,,「法定貨幣」の略。法貨。,通貨
法貨,,,法定貨幣の略。国の法令により強制的な通用力をもつ貨幣。,通貨
洋品店,ようひんてん,,洋服やその装身具など洋品を販売する店。,店舗
洋服屋,ようふくや,,洋服を作って売る店。,店舗
洋菓子屋,ようがしや,,洋菓子を作って売る店。,店舗
洋菓子店,ようがしてん,,洋菓子を販売する店。,店舗
洋食屋,ようしょくや,,洋食を作って客に提供する店、人。,飲食店
洗濯屋,せんたくや,,依頼を受けたものを洗濯することを業とする者。また、その店舗。クリーニング店。,店舗
流動資産,,current assets,簿記上の資産のうち、営業循環基準や一年基準によって短期間に現金化、費用化できるとされるもの。,会計; 簿記
消費者,,,代価を払って財やサービスを消費する者。,経済
消費者金融,,consumer finance; loan shark,貸金業の内、消費者への金銭の貸付け、又はこれを行う貸金業者。大抵の場合、出資法には抵触しないが利息制限法の制限を超える利息を取る高利貸しである。,金融
清算,せいさん; せーさん,clearing; clearance; settlement,おたがいの貸し借りを計算して、債権債務関係を消滅させること。,経済
減価償却,,depreciation; amortisation; amortization,固定資産を使用する期間にわたって、その価値を一定の規則に従って費用として配分していくこと。,会計; 簿記
減価償却費,,,固定資産を減価償却するとき、各期に配分される費用。,会計
減資,げんし,capital decrease; capital reduction,資本金を減らすこと。,会計
火災保険,かさいほけん,,火災ならびに水災により受ける財産の損害を補償する損害保険。,保険
災害保険,さいがいほけん,,火災保険と地震保険の総称。,保険
無尽講,むじんこう,,「頼母子講」を参照。,金融
無給,むきゅう,,給料が支払われないこと。,労働
無配,むはい,,無配当。,経済
無配当,むはいとう; むはいとー,,配当を実施しないこと。無配。,経済
焼肉屋,やきにくや,,焼き肉を提供する店、人。,飲食店
牛店,ぎゅうてん,,牛肉料理を食べさせる料理屋。,店舗
牛鍋屋,ぎゅうなべや,,牛鍋を提供する店、人。,飲食店
特休,とっきゅう,,法令の定めなしに企業が独自に就業規則で設ける休暇。,労働
特例国債,とくれいこくさい,,国が一般会計の赤字を補填するために発行する国債。赤字国債。,会計
特融,とくゆう,special; loans,特別に行われる融資。,金融
特需景気,とくじゅけいき,,特需に伴い発生する好景気。,経済
独占,どくせん,monopoly,売り手又は買い手の主体が一人であり、価格の形成が一方によりなされる経済状態。一般には売り手独占の場合を言う。,経済
猫カフェ,,,店内に多くは複数の猫が飼育され、その猫と触れあうことができるカフェ。キャットカフェ。,飲食店
玉,たま; だん; おう; ゴク; ギョク,,（ギョク）取引の対象物。（例）建玉,相場
玩具店,がんぐてん,,おもちゃを販売する店,店舗
現金,げんきん,cash,ある法制下で強制通用力を有する貨幣。その貨幣を対価として引き渡すことにつき、債権者は拒絶することができず、かつ、引き渡しで決済が確定的に完了するもの。; 語義1のものに加え、金融機関において直ちに、語義1の貨幣に交換できる通貨代用証券を含んだもの。,通貨; 会計
理容室,りようしつ; りよーしつ,,理容院,店舗
理容店,りようてん,,理容院。,店舗
理容所,りようしょ,,理容師が理容を行う施設、店舗。とこや。理髪店。理容室。理容院。理容店。,店舗
理容院,りよういん; りよーいん,,理容師などが理容術を施す施設。,店舗
理髪店,りはつてん,,理髪することを業とする店。,店舗
生命保険,せいめいほけん,life insurance,人の死亡を保険金支払いの条件としている保険。,保険
生活水準,せいかつすいじゅん,,ある国民階層の所得や消費などを数値化して示される生活の内容や程度。,経済
生活給,せいかつきゅう,,労働者とその家族が生活を維持できる最低限度を保障する賃金。,労働
生産力,せいさんりょく; せーさんりょく,,財貨を生産することができる力。社会における生産力は生産手段と労働力からなる。,経済
生産手段,せいさんしゅだん,means of production,生産過程で労働ともに生産物を作り出すために使用される物質的な要素。土地や原材料など労働の対象と工場や道具、機械など労働手段とがある。,経済
生産様式,せいさんようしき,mode of production,生産力と生産関係の結合によって成り立つ社会の経済的構造。,経済
生産者,せいさんしゃ; せーさんしゃ,producer,商品を生産する人。,経済
生産要素,せいさんようそ,,財やサービスの生産に用いられる要素。一般に土地・労働・資本を指す。,経済
生花店,せいかてん,,生花を販売する店。,店舗
用途,ようと; ようど,,（ようど）必要な費用。,会計
甲号券,こうごうけん,,日本で1899年に発行が開始された紙幣。,通貨
疎外,そがい,alienation,（ドイツ語の哲学用語Entfremdungの訳語）あるものから生じたものが、そこから離れて、生じた元と対立関係を生ずること。,経済
百円ショップ,,,100円ショップの別表記。,店舗
百均,ひゃっきん; ヒャッキン,,100円ショップ。,店舗
直接金融,ちょくせつきんゆう,,資金を必要とする者が金融機関を経ず、資金を供給する者から直接調達する方式。,金融
相互銀行,そうごぎんこう,,相互銀行法（1951年~1993年）に基づき設立された銀行。1989年から順次普通銀行に転換された。第二地方銀行。相銀。,銀行
相殺,そうさい; そうさつ,counteract; neutralization; offset,（そうさい） 二者がそれぞれ相手方に対して持つ同種の債権を対等額で消滅させる行為。,会計
相殺,そうさいする; そうさつする,,（そうさい） 二者がそれぞれ相手方に対して持つ同種の債権を対等額で消滅させる。,会計
相銀,そうぎん; そーぎん,,相互銀行。,銀行
省銭,しょうせん; せいせん,,江戸時代の通貨で百文未満であっても百文として通用させたもの。九六銭など。,通貨
社会主義,しゃかいしゅぎ,socialism,土地や生産手段などの財産を共有化し、搾取のない平等で公正な社会をつくろうとする思想や運動。社会民主主義や空想的社会主義、科学的社会主義、共産主義、マルクス主義、など、いろいろな種類や別名がある。,経済
