term,reading,english,description,category
相互作用,そうごさよう; インタラクション,interaction,場と物体とが近接作用する機構。力。,物理学
相図,そうず,,温度、圧力、組成などに対して物質の相が何になるかを示した図。普通は平衡状態での相を示す。状態図に同じ。,物理学
相対性理論,そうたいせいりろん,theory of relativity; relativism,互いに運動する物体の座標系の間では、物理学の法則が不変な形を保つという原理にもとづく理論。,相対性理論
相対湿度,そうたいしつど,relative humidity,湿度の一種で、ある湿り空気中に含まれる水蒸気の分圧を、その湿り空気の温度における飽和蒸気圧で割った量。主に気象学および日常生活で用いられる湿度。,熱力学
相対論,そうたいろん,,「相対性理論」の略。,物理学
相対論効果,そうたいろんこうか,,古典力学では現れず、相対性理論を考慮した場合のみに生じる効果。相対論的効果。,物理学
相対論的効果,そうたいろんてきこうか,,「相対論効果」に同じ。,物理学
相転移,そうてんい; そーてんい,,現在その物質の相（気相、液相または固相）が別の相に移ること。,物理化学
磁力,じりょく,,磁極同士が引き合ったり退け合ったりする力。,電磁気学
磁力線,,,磁場中の各点での接線の方向が磁場の方向と一致するように描いた曲線。,電磁気学
磁化,じか,magnetization; magnetisation; magnetize; magnetise,物質が磁気を帯びた状態になること。,電磁気学
磁場,じば,magnetic field,磁力が作用している空間。磁界。,電磁気学
磁性,じせい; じせー,magnetism,磁気を帯びた物質が他の物質を引き付けたり反発したりする性質。,電磁気学
磁性体,じせいたい,,磁性をもつ物質。また、磁場がある場所の中に置くことで磁化される物質。,電磁気学
磁束,じそく,magnetic flux,磁場の強さと方向を示す線の集まり。,電磁気学
磁束密度,,magnetic flux density,磁場の強さを表す量。磁場に垂直な断面の単位面積を貫く磁束。,電磁気学
磁極,じきょく,magnetic pole,鉄などを引き付ける力が最も強い、磁石の両端。,電磁気学
磁気,じき,,磁石同士または、磁石と電流の間に作用する力の根源。鉄片を引きつけたり、電流を発生させる。,電磁気学
磁気力,,,磁力。,電磁気学
磁気力線,,,磁力線。,電磁気学
移相,,,電圧や電流の変数を変化させること。,物理学
空気力学,くうきりきがく,aerodynamics,空気の挙動を扱う力学。,力学
空間,くうかん,space,物体が存在し現象が発生する場。古典物理学では3次元ユークリッド空間、特殊相対性理論ではミンコフスキー時空、一般相対性理論では4次元リーマン空間。,物理学
空間偏微分演算子,くうかんへんびぶんえんざんし,,演算子∇=∂/(∂x)\∂/(∂y)\∂/(∂z)のこと。ベクトル量と見做して計算する。,ベクトル解析
空間微分,くうかんびぶん,,∇(ナブラ)で表記される微分操作である勾配・発散・回転の総称。,ベクトル解析
等速度運動,とうそくどうんどう,,速度が時間によって変化しない運動。,力学
等速直線運動,,,速さや方向を変えずに行われる運動。加速度が0である運動のうち静止でないもの。,物理学
粒子,りゅうし,particle,物質を構成する細かい粒。,物理学
粒子線,りゅうしせん,,荷電粒子に電圧を加えて得られるビーム。,量子力学; 電磁気学
系,ゲ; ケイ,system; corollary,（けい）対象とする範囲。ある関心によって区切られた世界の特定の部分。,熱力学
素粒子,そりゅうし,elementary particle,物質を構成するそれ以上分けることができない基本的な粒子。,物理学
素量,そりょう,,ある物理量の最小単位。電気素量が代表的。,物理学
素電荷,そでんか,,電気素量の同義語。,電磁気学
紫外線,しがいせん,ultraviolet,X線よりも波長が長く、可視光線よりも波長が短い電磁波。目には見えない。日焼けの原因となる。DNAを損傷する作用があり、殺菌灯に用いられる。,物理学
結合エネルギー,けつごうえねるぎー,,結合を一つ切断するのに必要なエネルギー。例えば、原子核の結合エネルギーは質量欠損分に相当する。,物理学
絶対温度,ぜったいおんど,,絶対零度を零度とし、摂氏と同じ間隔で目盛を振った温度。,物理学
絶対湿度,ぜったいしつど,absolute humidity,湿度の一種で、ある湿り空気中に含まれる水蒸気の質量を、その湿り空気から水蒸気を除いた質量（すなわち乾き空気の質量）で割った量、主に工業で用いられる湿度の表現。,熱力学
絶縁,ぜつえん,,導体の途中に不導体を入れて電流や熱を断つこと。,物理学
絶縁体,ぜつえんたい,insulator,電気や熱を伝えない物体。,電磁気学
腹,はら; なか; フク,,(はら) 定常波で、振幅の最大な部分。,物理学
自由落下,,freefall,物体が重力のみを受けて初速度0で落下する運動。,力学
荷電粒子,かでんりゅうし,,電荷を帯びた粒子。電圧を加えると高速の粒子線が得られる。,量子力学; 電磁気学
菫外線,きんがいせん,,紫外線。,物理学
蒸発,じょうはつ; じょーはつ,evaporation; vaporization; disappearance,液体の表面が気化する現象。,物理学
蜃気楼,しんきろう,,空気の温度が異なる層があるため光の屈折が起こり、遠くの風景が浮かんだり、反射して見えたりする現象。海市。ミラージュ。,光学
融解,ゆうかい,,固体が液体に変わること。,物理化学
角速度,かくそくど,angular velocity,物体や質点が単位時間あたりに回転する角度。,古典力学
角運動量,かくうんどうりょう,,位置と運動量の外積で、回転の勢いを表す物理量。,物理学
角運動量保存則,かくうんどうりょうほぞんそく,,外力が働かない限り角運動量は時間によらず一定であるという法則。,力学
解析力学,かいせきりきがく,analytic mechanics,一般化座標系を用いて記述し、数理的解析手法により定式化した力学。ラグランジュ力学とハミルトン力学に大別される。,力学
計算物理学,けいさんぶつりがく,,数学的に解けない物理現象の基礎方程式を計算機によって数値的に解くことを目的とする分野。,物理学
誘導,ゆうどう; ゆうどー,,電気・磁気がその電場・磁場にある物体に作用を及ぼすこと。,電磁気学
誘導電流,,induced current,電磁誘導で生じる電流。,電磁気学
誘電体,ゆうでんたい,,電気を通さない物体。,電磁気学
誘電率,ゆうでんりつ,permittivity,誘導分極のしやすさを表す値。電束密度をD、電場の強度をEとしてε=(∂D)/(∂E)と定義される。,電磁気学
調和の法則,ちょうわのほうそく,,ケプラーの第三法則の別名。,力学
調和関数,ちょうわかんすう; ちょーわかんすう,harmonic function,ラプラス方程式の解となるC²級関数。,ベクトル解析
調子,ちょうし,pitch; tone; intonation; condition,発音体の振動数の多少によって生ずる音の高低。,物理学
質量,しつりょう; しつりょー,mass,物体の、重力を発生させようとする性質の強さ。重力質量。; 物体の、動きにくい性質の強さ。慣性質量。,物理学
赤外線,せきがいせん,infrared,可視光線よりも波長が長く、電波よりも波長が短い電磁波。目には見えない。赤外線の中で波長の短いものを近赤外線、長いものを遠赤外線という。リモコンや自動ドアのセンサーは近赤外線を使い、電気ストーブの加熱や赤外線体温計の測定対象には遠赤外線を用いる。,物理学
起電力,きでんりょく,electromotive force,電流を生じさせる原動力。単位 V (ボルト)。,電磁気学
超伝導,ちょうでんどう,,一定の温度以下になった物体の電気抵抗がゼロになる現象。超電導。,物理学
超光速,ちょうこうそく,,光速を上回る速度。,物理学
軌道,きどう; きどー,orbit; trajectory; rail,物体が一定の法則に従い描く道筋。,物理学
軸,しんぎ; よこがみ; ジク; チク,,回転の中心となる直線や棒。回転軸。,物理学
近紫外線,きんしがいせん,,紫外線のうち、波長が可視光線に近いもの。,物理学
近赤外線,きんせきがいせん,,赤外線のうち、波長が可視光線に近いもの。,物理学
逆位相,ぎゃくいそう; ぎゃくいそー,,位相の差がπであること。直交。,物理学
速度,そくど,velocity,速さとその方向を合わせたベクトル。,力学
速度微分,そくどびぶん,,"微分変数が速度v,[m/s]であるときの常微分の称。",物理学
週期,しゅうき,,周期。,物理学
運動,うんどう; うんどー,,物理学で物体が時間につれて位置を変えること。,物理学
